posx,posy,ay,ax,az,my,mx,mz
29,3,-3.46944695195361E-018,-0.005,-0.9975,-56.43,-10.225,44.2375
29,3,-0.03,-0.13,-1.03,-56.43,-9.3475,46.835
30,3,0.095,0.135,-1,-48.6925,12.2025,60.4725
30,3,-0.0525,0.1025,-0.975,-55.9375,-16.655,38.065
30,3,0.245,-0.02,-1.01,-57.02,3.215,65.4725
30,2,0.0575,0.095,-1.0125,-51.0575,3.4375,51.8325
30,2,0.025,0.025,-1.03,-56.6275,-6.28,45.3525
30,2,-0.14,0.0575,-1.0375,-50.96,-8.3975,40.72
30,1,-0.095,0.115,-1.0175,-52.535,-6.79,33.93
30,1,-0.1675,-0.115,-0.965,-61.1625,-18.12,27.82
30,1,-0.0575,-0.0325,-1.0075,-55.395,-6.5,40.4725
31,1,-0.065,-0.0025,-1.03,-54.9525,-8.9125,41.645
31,1,-0.05,0.0775,-1.0425,-50.6625,-6.4975,40.72
31,1,0.085,-0.125,-1.055,-57.9575,-0.9475,52.695
31,2,-0.0025,-0.0025,-1.035,-53.6675,-6.4225,46.83
31,2,0.02,0.0725,-1.075,-53.0275,-8.4,45.2875
31,2,0.1225,0.295,-0.975,-51.255,-5.9125,44.67
31,3,-0.0175,-0.085,-1.0275,-57.5125,-10.37,54.3625
31,3,-0.0225,0.1,-1.0425,-48.2925,-5.0375,51.585
31,3,0.005,0.1675,-1.0125,-47.1125,-4.3075,47.14
32,3,0.0575,-0.0325,-1.0575,-53.1275,-0.5075,59.6125
32,3,-0.13,-0.085,-1.01,-60.42,-20.6775,39.4875
32,3,0.075,0.05,-1,-55.9875,-3.58,53.685
32,2,0.0125,-0.01,-1.0275,-58.3525,-14.5375,41.8325
32,2,-0.005,0.06,-1.045,-54.31,-10.01,42.2025
32,2,-0.045,-0.0625,-1.04,-52.485,-2.48,50.2875
32,1,-0.0525,0.1275,-0.985,-50.6625,-5.7675,36.645
32,1,-0.1,-0.1225,-1.02,-57.07,-10.2975,41.955
32,1,0.075,-0.1775,-1.01,-58.4525,-1.385,55.165
33,1,-0.005,0.0125,-1.0425,-55.5425,-8.6175,37.2
33,1,-0.1125,0.185,-1.0325,-51.405,-13.1475,25.1025
33,1,-0.0375,-0.0625,-1.025,-55,-4.5975,44.0525
33,2,-0.055,-0.0175,-1.055,-54.2125,-11.175,38.1275
33,2,-0.01,0.1175,-1.0175,-49.38,-3.87,38.0025
33,2,-0.0825,-0.0825,-1.0225,-53.6225,-3.575,44.3025
33,3,0.0275,-0.0025,-1.03,-50.3675,4.4525,54.67
33,3,-0.015,-0.0975,-1.0125,-59.0925,-11.3925,44.8575
33,3,0.035,0.025,-1.015,-54.1125,-6.5025,46.5225
34,3,-0.0025,-0.0675,-0.99,-58.3,-1300454.3925,35.7225
34,3,0.0025,-0.05,-1.035,-57.12,-11.5425,39.055
34,3,-0.105,-0.1225,-1.015,-55.6925,-10.445,38.87
34,2,-0.08,-0.1025,-0.985,-64.4175,-19.435,28.9325
34,2,0.0775,0.04,-1.025,-59.83,-9.275,42.0775
34,2,-0.0725,-0.055,-1.0275,-57.955,-12.4925,36.275
34,1,-0.035,0.0725,-1.0275,-50.5125,-2.6275,35.7225
34,1,-0.1175,-0.145,-1.01,-55.495,-5.0375,35.535
34,1,-0.0175,0.0975,-1.0375,-57.365,-11.905,28.745
35,1,-0.055,0.0075,-1.0375,-58.45,-11.6175,27.76
35,1,-0.0825,-0.03,-1.015,-55.395,-9.275,28.375
35,1,-0.0575,0.0675,-1.0225,-53.275,-7.1575,29.055
35,2,-0.039999999999999994,-0.08750000000000001,-1.0250000000000001,-61.557500000000005,-17.9725,31.400000000000006
35,2,-0.05500000000000001,-0.06,-1.02,-58.747499999999995,-15.855,32.945
35,2,0.11499999999999999,-0.0675,-1.0025,-53.9675,1.3125,51.400000000000006
35,3,-0.065,-0.15,-1.04,-57.565,-19.945,32.325
35,3,0.1125,0.315,-0.98,-53.67,-8.7625,40.6575
35,3,-0.0175,-0.135,-1.045,-61.754999999999995,-18.7075,34.4875
